"","name","year","pressure","windspeed","radius","rainfall_mm","surge","Tors"
"1","ALBERTO",1982,985,75,-999,418.338,NA,NA
"2","ALBERTO",1988,1002,35,-999,NA,NA,NA
"3","ALBERTO",1994,993,55,-999,707.39,1.52,NA
"4","ALBERTO",2000,950,110,-999,NA,NA,NA
"5","ALBERTO",2006,969,60,125,181.864,1.83,17
"6","ALBERTO",2012,995,50,20,NA,NA,NA
"7","ALBERTO",2018,990,55,40,312.42,NA,NA
"8","ALEX",1998,1002,45,-999,NA,NA,NA
"9","ALEX",2004,957,105,80,191.77,NA,NA
"10","ALEX",2010,946,95,90,890.016,1.51,11
"11","ALEX",2016,978,75,360,NA,NA,NA
"12","ALICIA",1983,962,100,-999,241.3,3.85,NA
"13","ALLEN",1980,-999,165,-999,513.08,3.66,NA
"14","ALLISON",1989,999,45,-999,652.018,NA,NA
"15","ALLISON",1995,982,65,-999,231.14,2.44,6
"16","ALLISON",2001,1000,50,-999,1033.272,NA,26
"17","ALPHA",2005,998,45,0,NA,NA,NA
"18","ALPHA",2020,992,60,140,NA,NA,NA
"19","ANA",1985,996,60,-999,34.798,NA,NA
"20","ANA",1991,1000,45,-999,199.644,NA,NA
"21","ANA",1997,1000,40,-999,NA,NA,NA
"22","ANA",2003,994,50,-999,NA,NA,NA
"23","ANA",2009,1003,35,0,70.104,NA,NA
"24","ANA",2015,998,50,80,175.006,NA,1
"25","ANDREA",2007,998,65,320,19.558,NA,NA
"26","ANDREA",2013,992,55,70,362.458,NA,11
"27","ANDREA",2019,1006,35,0,NA,NA,NA
"28","ANDREW",1986,999,45,-999,NA,NA,NA
"29","ANDREW",1992,922,150,-999,355.092,2.44,NA
"30","ARLENE",1981,999,50,-999,NA,NA,NA
"31","ARLENE",1987,987,65,-999,41.91,NA,NA
"32","ARLENE",1993,1000,35,-999,387.604,1.22,NA
"33","ARLENE",1999,1006,50,-999,NA,NA,NA
"34","ARLENE",2005,989,60,100,249.936,1.52,3
"35","ARLENE",2011,993,55,70,NA,NA,1
"36","ARLENE",2017,986,55,180,NA,NA,NA
"37","ARTHUR",1984,1004,45,-999,NA,NA,NA
"38","ARTHUR",1990,995,60,-999,NA,NA,NA
"39","ARTHUR",1996,992,45,-999,NA,NA,NA
"40","ARTHUR",2002,992,50,-999,NA,NA,NA
"41","ARTHUR",2008,1004,40,0,NA,NA,NA
"42","ARTHUR",2014,972,85,100,221.742,NA,5
"43","ARTHUR",2020,989,55,90,252.73,NA,NA
"44","BARRY",1983,986,70,-999,76.454,NA,NA
"45","BARRY",1989,1005,45,-999,NA,NA,NA
"46","BARRY",1995,989,60,-999,NA,NA,NA
"47","BARRY",2001,990,60,-999,297.18,NA,4
"48","BARRY",2007,990,50,20,203.2,NA,2
"49","BARRY",2013,1003,40,0,NA,NA,NA
"50","BARRY",2019,993,65,90,598.932,NA,NA
"51","BERTHA",1984,1007,35,-999,NA,NA,NA
"52","BERTHA",1990,973,70,-999,18.034,NA,NA
"53","BERTHA",1996,960,100,-999,233.68,NA,15
"54","BERTHA",2002,1007,35,-999,260.35,NA,NA
"55","BERTHA",2008,952,110,150,121.158,NA,NA
"56","BERTHA",2014,996,70,50,279.4,NA,NA
"57","BERTHA",2020,1005,45,0,345.948,NA,NA
"58","BERYL",1982,989,60,-999,NA,NA,NA
"59","BERYL",1988,1001,45,-999,408.686,1.68,NA
"60","BERYL",1994,999,50,-999,443.23,NA,NA
"61","BERYL",2000,1007,45,-999,247.904,NA,NA
"62","BERYL",2006,1000,50,40,24.638,NA,NA
"63","BERYL",2012,992,60,50,381,NA,4
"64","BERYL",2018,991,70,20,NA,NA,NA
"65","BETA",2005,962,100,30,NA,NA,NA
"66","BETA",2020,993,55,80,400.558,NA,NA
"67","BILL",1997,986,65,-999,NA,NA,NA
"68","BILL",2003,997,50,-999,259.08,1.69,30
"69","BILL",2009,943,115,175,134.874,NA,NA
"70","BILL",2015,997,50,20,383.794,NA,17
"71","BOB",1985,1002,65,-999,546.1,NA,NA
"72","BOB",1991,950,100,-999,209.296,NA,NA
"73","BONNIE",1980,975,85,-999,NA,NA,NA
"74","BONNIE",1986,990,75,-999,330.2,1.58,NA
"75","BONNIE",1992,965,95,-999,NA,NA,NA
"76","BONNIE",1998,954,100,-999,371.094,NA,8
"77","BONNIE",2004,1001,55,15,154.178,NA,16
"78","BONNIE",2010,1005,40,0,146.05,NA,NA
"79","BONNIE",2016,1006,40,0,354.33,NA,NA
"80","BRET",1981,-999,60,-999,113.792,NA,NA
"81","BRET",1987,1000,45,-999,NA,NA,NA
"82","BRET",1993,1002,50,-999,NA,NA,NA
"83","BRET",1999,944,125,-999,334.772,2.44,5
"84","BRET",2005,1002,35,0,NA,NA,NA
"85","BRET",2011,995,60,20,NA,NA,NA
"86","BRET",2017,1007,45,0,NA,NA,NA
"87","CESAR",1984,989,50,-999,NA,NA,NA
"88","CESAR",1990,1000,45,-999,NA,NA,NA
"89","CESAR",1996,985,75,-999,NA,NA,NA
"90","CHANTAL",1983,994,65,-999,61.976,NA,NA
"91","CHANTAL",1989,984,70,-999,508,2.13,NA
"92","CHANTAL",1995,991,60,-999,NA,NA,NA
"93","CHANTAL",2001,997,60,-999,508.762,NA,NA
"94","CHANTAL",2007,964,60,250,NA,NA,NA
"95","CHANTAL",2013,1003,55,50,54.864,NA,NA
"96","CHANTAL",2019,1007,35,0,NA,NA,NA
"97","CHARLEY",1980,989,70,-999,NA,NA,NA
"98","CHARLEY",1986,980,70,-999,218.694,NA,NA
"99","CHARLEY",1992,965,95,-999,NA,NA,NA
"100","CHARLEY",1998,1000,60,-999,483.87,NA,NA
"101","CHARLEY",2004,941,130,75,250.952,2.13,20
"102","CHRIS",1982,994,55,-999,NA,1.83,NA
"103","CHRIS",1988,1005,45,-999,369.57,NA,NA
"104","CHRIS",1994,979,70,-999,94.742,NA,NA
"105","CHRIS",2000,1008,35,-999,NA,NA,NA
"106","CHRIS",2006,1001,55,25,127.254,NA,NA
"107","CHRIS",2012,974,75,50,NA,NA,NA
"108","CHRIS",2018,969,90,70,NA,NA,NA
"109","CINDY",1981,1002,50,-999,NA,NA,NA
"110","CINDY",1987,1000,45,-999,NA,NA,NA
"111","CINDY",1993,1007,40,-999,116.84,NA,NA
"112","CINDY",1999,942,120,-999,NA,NA,NA
"113","CINDY",2005,991,65,30,241.3,1.83,48
"114","CINDY",2011,994,60,35,NA,NA,NA
"115","CINDY",2017,991,50,80,474.726,NA,NA
"116","CLAUDETTE",1985,980,75,-999,15.494,NA,NA
"117","CLAUDETTE",1991,944,115,-999,NA,NA,NA
"118","CLAUDETTE",1997,1003,40,-999,NA,NA,NA
"119","CLAUDETTE",2003,979,80,-999,168.148,2.79,2
"120","CLAUDETTE",2009,1005,50,30,149.352,NA,NA
"121","CLAUDETTE",2015,1003,45,0,NA,NA,NA
"122","COLIN",2010,1005,50,25,NA,NA,NA
"123","COLIN",2016,987,50,100,445.516,NA,NA
"124","CRISTOBAL",2002,999,45,-999,NA,NA,NA
"125","CRISTOBAL",2008,998,55,45,202.438,NA,NA
"126","CRISTOBAL",2014,963,75,140,NA,NA,NA
"127","CRISTOBAL",2020,982,50,150,388.62,NA,NA
"128","DANIELLE",1980,1004,50,-999,464.566,NA,NA
"129","DANIELLE",1986,1000,50,-999,NA,NA,NA
